# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
574.063415,1000,973.384888
550.273791,1000,974.547084
132.356635,1000,975.673714
492.154611,1000,976.774081
521.634572,1000,977.892114
613.272551,1000,979.034569
587.1785,1000,980.195026
806.781569,1000,981.412885
604.38805,1000,982.612456
482.329319,1000,983.707471
566.918817,1000,984.821609
352.853854,1000,985.957791
337.008917,1000,987.093761
531.572069,1000,988.216099
524.655736,1000,989.42486
391.693256,1000,990.609797
465.707787,1000,991.725143
471.959565,1000,992.875202
474.618226,1000,993.977904
717.818626,1000,995.163212
540.285111,1000,996.275586
623.011847,1000,997.421436
729.568769,1000,998.640272
486.288694,1000,999.840989
528.630323,1000,1000.985571
640.369322,1000,1002.17804
552.9612,1000,1003.356145
229.020287,1000,1004.50842
395.977851,1000,1005.713271
332.080404,1000,1006.91409
526.516376,1000,1008.075249
617.580356,1000,1009.320693
478.316777,1000,1010.451472
510.414007,1000,1011.588501
132.047048,1000,1012.728628
323.218544,1000,1013.886666
518.317849,1000,1015.034792
641.120793,1000,1016.231099
547.213527,1000,1017.40773
446.753626,1000,1018.575733
101.127803,1000,1019.694158
216.409201,1000,1020.800822
192.404063,1000,1021.94258
212.920752,1000,1023.048564
474.379214,1000,1024.216807
669.910575,1000,1025.393719
691.019192,1000,1026.575633
443.523797,1000,1027.709689
530.816291,1000,1028.815163
449.401077,1000,1029.970147
171.830085,1000,1031.112563
547.719719,1000,1032.198165
350.182416,1000,1033.325682
999.400079,1000,1034.641553
728.956583,1000,1035.926234
543.56019,1000,1037.118024
485.173299,1000,1038.252095
493.313976,1000,1039.36378
519.947411,1000,1040.478257
502.167368,1000,1041.623397
209.494399,1000,1042.76124
92.650572,1000,1043.8634
158.163001,1000,1045.008454
543.545967,1000,1046.156091
70.427275,1000,1047.23517
252.766801,1000,1048.322416
446.032181,1000,1049.414703
477.908747,1000,1050.544788
515.146602,1000,1051.668328
552.404287,1000,1052.810923
420.257014,1000,1053.913001
472.364596,1000,1055.044973
391.804305,1000,1056.180813
525.315977,1000,1057.292944
30.101519,1000,1058.375063
557.848313,1000,1059.517437
675.188228,1000,1060.6735
521.250324,1000,1061.789629
555.733765,1000,1062.929685
616.185536,1000,1064.067469
627.968552,1000,1065.280802
736.252101,1000,1066.447271
790.983473,1000,1067.644754
483.791293,1000,1068.769572
566.049631,1000,1069.869277
639.711323,1000,1070.978765
1005.919586,1000,1072.220711
589.836654,1000,1073.372937
541.304976,1000,1074.543471
680.913227,1000,1075.741876
508.517788,1000,1076.851875
624.243997,1000,1078.024817
530.836915,1000,1079.171869
520.046965,1000,1080.300689
524.783205,1000,1081.433413
799.291765,1000,1082.707804
526.471722,1000,1083.858055
510.431093,1000,1084.994963
297.277802,1000,1086.168577
771.784281,1000,1087.565262
471.29565,1000,1088.681444
557.737642,1000,1089.869887
919.860576,1000,1091.112309
1002.14096,1000,1092.351439
617.22854,1000,1093.559309
660.327399,1000,1094.728664
854.162232,1000,1095.944966
624.152998,1000,1097.10315
360.526352,1000,1098.230524
653.864356,1000,1099.428364
749.918879,1000,1100.635964
797.216221,1000,1101.791567
768.514182,1000,1102.973348
554.222241,1000,1104.174338
468.788149,1000,1105.319729
158.618254,1000,1106.481916
607.194546,1000,1107.690467
519.433881,1000,1108.820173
540.194096,1000,1109.929546
349.332216,1000,1111.072107
834.463018,1000,1112.303601
816.518891,1000,1113.528101
564.83269,1000,1114.692838
551.783237,1000,1115.828699
669.379177,1000,1117.011354
503.59778,1000,1118.123167
613.24978,1000,1119.321938
642.065207,1000,1120.487496
617.286249,1000,1121.59945
518.618802,1000,1122.69477
621.224047,1000,1123.887872
699.254127,1000,1125.087685
230.65981,1000,1126.202053
501.13973,1000,1127.365497
509.023014,1000,1128.547259
503.630557,1000,1129.747889
450.742326,1000,1130.903761
146.470403,1000,1132.022728
628.439539,1000,1133.189277
562.487739,1000,1134.327517
724.262352,1000,1135.536873
547.630501,1000,1136.701496
737.126981,1000,1137.909993
539.812166,1000,1139.062736
553.032186,1000,1140.220643
671.491219,1000,1141.387878
589.707747,1000,1142.484496
605.306694,1000,1143.674837
689.254885,1000,1144.936198
640.683126,1000,1146.098988
345.1528,1000,1147.274074
425.579044,1000,1148.433523
571.450598,1000,1149.58305
938.075399,1000,1150.880356
583.501241,1000,1152.031607
233.455679,1000,1153.141237
538.630859,1000,1154.241725
111.841289,1000,1155.396252
457.357438,1000,1156.533899
272.92106,1000,1157.686875
530.10731,1000,1158.816866
502.453863,1000,1159.966823
786.303299,1000,1161.171868
808.709907,1000,1162.388617
654.817633,1000,1163.569485
856.878433,1000,1164.784325
342.887583,1000,1165.907205
169.340068,1000,1167.015466
992.151175,1000,1168.229842
358.823087,1000,1169.338923
517.637847,1000,1170.476848
572.213311,1000,1171.590698
419.797423,1000,1172.741867
648.031172,1000,1173.960727
920.67033,1000,1175.199805
372.883592,1000,1176.305568
